name,schulform,stadt,standorttyp,lat,lon,street,plz,data_2014
Mont-Cenis-Gesamtschule ,Gesamtschule,Herne,5,51.538,7.248,Mont-Cenis-Straße 180,44627,0
Gesamtschule Wanne-Eickel,Gesamtschule,Herne,5,51.53,7.156,Stöckstraße 41,44649,0
Hans-Tilkowski-Schule,Hauptschule,Herne,5,51.541,7.22,Neustraße 16,44623,0
Hauptschule Hölkeskampring,Hauptschule,Herne,4,51.529,7.223,Hölkeskampring 2,44625,0
Melanchthonschule,Hauptschule,Herne,5,51.54,7.155,Melanchthonstraße 15,44649,0
Gymnasium Eickel,Gymnasium,Herne,4,51.523,7.161,Gabelsbergerstraße 22,44652,0
Haranni Gymnasium,Gymnasium,Herne,4,51.542,7.226,Hermann-Löns-Straße 58,44623,0
Otto-Hahn-Gymnasium,Gymnasium,Herne,4,51.539,7.241,Hölkeskampring 168,44625,0
Pestalozzi-Gymnasium,Gymnasium,Herne,3,51.544,7.213,Harpener Weg 6,44629,0
Gymnasium Wanne,Gymnasium,Herne,5,51.529,7.158,Gerichtsstraße 9,44649,0
Realschule An der Burg,Realschule,Herne,5,51.514,7.169,Burgstraße 71,44651,0
Realschule Crange,Realschule,Herne,5,51.54,7.152,Semlerstraße 4,44649,0
Realschule Sodingen,Realschule,Herne,4,51.549,7.271,Castroper Str. 251,44627,0
realschule Strünkede,Realschule,Herne,5,51.546,7.212,Bismarckstraße 41,44629,0
Fasia-Jansen-Gesamtschule,Gesamtschule,Oberhausen,5,51.474,6.862,Schwartzstraße 87,46045,0
Heinrich-Böll-Gesamtschule,Gesamtschule,Oberhausen,3,51.551,6.836,Auf der Haardt￼ 3,46147,0
Gesamtschule Osterfeld,Gesamtschule,Oberhausen,5,51.505,6.889,Lilienthalstraße,46117,0
Gesamtschule Weierheide,Gesamtschule,Oberhausen,4,51.517,6.829,Egelsfurthstraße 66,46149,0
Albert-Schweitzer-Hauptschule,Hauptschule,Oberhausen,5,51.525,6.874,Elpenbachstraße 112,46119,0
Hauptschule Alstaden,Hauptschule,Oberhausen,5,51.462,6.835,Bebelstraße 182,46049,0
Bertha-von-Suttner-Gymnasium,Gymnasium,Oberhausen,5,51.477,6.87,Bismarckstraße 53,46047,0
Elsa-Brändström-Gymnasium,Gymnasium,Oberhausen,4,51.472,6.856,Christian-Steger-Straße 11,46045,0
Freiherr-vom-Stein-Gymnasium,Gymnasium,Oberhausen,3,51.521,6.843,Wilhelmstraße 77,46145,0
Heinrich-Heine-Gymnasium,Gymnasium,Oberhausen,5,51.472,6.866,Lohstraße 29,46047,0
Sophie-Scholl-Gymnasium,Gymnasium,Oberhausen,4,51.52,6.848,Tirpitzstraße 41,46145,0
Hauptschule St. Michael,Katholische Hauptschule,Oberhausen,4,51.479,6.88,Knappenstraße 123,46047,0
Anne-Frank-Realschule,Realschule,Oberhausen,5,51.466,6.851,Goebenstraße 140,46045,0
Friedrih-Ebert-Schule,Realschule,Oberhausen,4,51.524,6.839,Potsdamer Str. 2,46145,0
Theodor-Heuss-Realschule,Realschule,Oberhausen,4,51.526,6.873,Tackenbergstraße 139,46119,0
Janusz-Korczak-Gesamtschule,Gesamtschule,Bottrop,5,51.528,6.936,Horster Str. 114,46236,0
Willy-Brandt-Gesamtschule,Gesamtschule,Bottrop,4,51.543,6.929,Brömerstraße 12,46240,0
Gemeinschaftshauptschule Kirchhellen,Hauptschule,Bottrop,1,51.607,6.919,Kirchhellener Ring 18,46244,0
Hauptschule Lehmkuhle,Hauptschule,Bottrop,5,51.513,6.93,Alter Südring 20,46236,0
Hauptschule Welheim,Hauptschule,Bottrop,5,51.527,6.98,Welheimer Str. 80,46238,0
Heinrich-Heine-Gymnasium,Gymnasium,Bottrop,3,51.525,6.913,Gustav-Ohm-Straße 65,46236,0
Josef-Albers-Gymnasium,Gymnasium,Bottrop,4,51.518,6.919,Zeppelinstraße 20,46236,0
Vestisches Gymnasium,Gymnasium,Bottrop,1,51.607,6.919,Schulstraße 25,46244,0
August-Everding-Realschule,Realschule,Bottrop,3,51.534,6.897,Gorch-Fock-Straße 21,46242,0
Gustav-Heinemann-Realschule,Realschule,Bottrop,4,51.523,6.932,Paßstraße 12,46236,0
Marie-Curie-Realschule,Realschule,Bottrop,4,51.521,6.932,Friedrich-Ebert-Straße 120,46236,0
