state,ags,name,plz,lon,lat,search
13,13074050,Lützow,19209,11.178,53.655,lützow
13,13074061,Perlin,19209,11.175,53.587,perlin
13,13074062,Pingelshagen,19069,11.338,53.683,pingelshagen
13,13074064,Pokrent,19205,11.143,53.646,pokrent
13,13074072,Schildetal,19209,11.141,53.615,schildetal
13,13074075,Seehof,19069,11.431,53.693,seehof
13,13074088,Zickhusen,19069,11.414,53.758,zickhusen
13,13074004,Benz,23970,11.584,53.911,benz
13,13074007,Blowatz,23974,11.537,53.994,blowatz
13,13074009,Boiensdorf,23974,11.562,54.017,boiensdorf
13,13074034,Hornstorf,23974,11.532,53.909,hornstorf
13,13074044,Krusenhagen,23974,11.532,53.945,krusenhagen
13,13074056,Neuburg,23974,11.586,53.948,neuburg
13,13074006,Bibow,19417,11.643,53.785,bibow
13,13074023,Glasin,23992,11.737,53.912,glasin
13,13074036,Jesendorf,19417,11.599,53.804,jesendorf
13,13074046,Lübberstorf,23992,11.731,53.858,lübberstorf
13,13074057,Neukloster,23992,11.688,53.865,neukloster
13,13074060,Passee,23992,11.771,53.956,passee
13,13074084,Warin,19417,11.705,53.8,warin
13,13074090,Zurow,23992,11.615,53.864,zurow
13,13074091,Züsow,23992,11.675,53.923,züsow
13,13074013,Carlow,19217,10.936,53.758,carlow
13,13074018,Dechow,19217,10.923,53.72,dechow
13,13074028,Groß Molzahn,19217,10.873,53.735,groß molzahn
13,13074033,Holdorf,19217,11.062,53.727,holdorf
13,13074042,Königsfeld,19217,11.005,53.753,königsfeld
13,13074065,Rehna,19217,11.05,53.78,rehna
13,13074066,Rieps,19217,10.867,53.773,rieps
13,13074073,Schlagsdorf,19217,10.824,53.731,schlagsdorf
13,13074078,Thandorf,19217,10.826,53.761,thandorf
13,13074080,Utecht,19217,10.77,53.767,utecht
13,13074092,Wedendorfersee,19217,11.112,53.765,wedendorfersee
13,13074017,Dassow,23942,10.978,53.909,dassow
13,13074027,Grieben,23936,11.047,53.841,grieben
13,13074029,Groß Siemz,23923,10.927,53.817,groß siemz
13,13074045,Lockwisch,23923,10.852,53.844,lockwisch
13,13074049,Lüdersdorf,23923,10.811,53.831,lüdersdorf
13,13074052,Menzendorf,23923,11.012,53.845,menzendorf
13,13074058,Niendorf,23923,10.895,53.809,niendorf
13,13074067,Roduchelstorf,23923,10.986,53.821,roduchelstorf
13,13074074,Schönberg,23923,10.935,53.847,schönberg
13,13074076,Selmsdorf,23923,10.86,53.882,selmsdorf
13,13075005,Anklam,17389,13.693,53.855,anklam
13,13075039,Greifswald,17489,13.38,54.096,greifswald
13,13075049,Heringsdorf,17424,14.156,53.957,heringsdorf
13,13075105,Pasewalk,17309,13.99,53.505,pasewalk
13,13075130,Strasburg (Uckermark),17335,13.744,53.506,strasburg (uckermark)
13,13075136,Ueckermünde,17373,14.046,53.737,ueckermünde
13,13075021,Buggenhagen,17440,13.862,53.923,buggenhagen
13,13075072,Krummin,17440,13.848,54.048,krummin
13,13075074,Lassan,17440,13.845,53.946,lassan
13,13075087,Lütow,17440,13.879,54.013,lütow
13,13075124,Sauzin,17440,13.785,54.035,sauzin
13,13075144,Wolgast,17438,13.775,54.053,wolgast
13,13075147,Zemitz,17440,13.755,53.979,zemitz
13,13075001,Ahlbeck,17375,14.185,53.67,ahlbeck
13,13075003,Altwarp,17375,14.262,53.744,altwarp
13,13075031,Eggesin,17367,14.082,53.68,eggesin
13,13075037,Grambin,17375,14.016,53.756,grambin
13,13075051,Hintersee,17375,14.26,53.629,hintersee
13,13075075,Leopoldshagen,17375,13.896,53.774,leopoldshagen
13,13075078,Liepgarten,17375,14.028,53.72,liepgarten
13,13075084,Lübs,17379,13.882,53.726,lübs
13,13075085,Luckow,17375,14.157,53.707,luckow
13,13075089,Meiersberg,17375,13.943,53.704,meiersberg
13,13075093,Mönkebude,17375,13.962,53.767,mönkebude
13,13075139,Vogelsang-Warsin,17375,14.164,53.723,vogelsang-warsin
13,13075007,Bargischow,17398,13.756,53.833,bargischow
13,13075013,Blesewitz,17392,13.617,53.826,blesewitz
13,13075015,Boldekow,17392,13.594,53.725,boldekow
13,13075020,Bugewitz,17398,13.831,53.79,bugewitz
13,13075022,Butzow,17392,13.647,53.835,butzow
13,13075029,Ducherow,17398,13.783,53.765,ducherow
13,13075053,Iven,17391,13.429,53.797,iven
13,13075068,Krien,17391,13.447,53.83,krien
13,13075073,Krusenfelde,17391,13.394,53.846,krusenfelde
13,13075088,Medow,17391,13.533,53.838,medow
13,13075098,Neu Kosenow,17398,13.755,53.791,neu kosenow
13,13075101,Neuenkirchen,17392,13.569,53.801,neuenkirchen
13,13075110,Postlow,17391,13.576,53.835,postlow
13,13075116,Rossin,17398,13.704,53.77,rossin
13,13075122,Sarnow,17392,13.626,53.752,sarnow
13,13075127,Spantekow,17392,13.52,53.779,spantekow
13,13075128,Stolpe an der Peene,17391,13.56,53.873,stolpe an der peene
13,13075155,Neetzow-Liepen,17391,13.438,53.878,neetzow-liepen
13,13075002,Alt Tellin,17129,13.245,53.846,alt tellin
13,13075009,Bentzin,17129,13.273,53.946,bentzin
13,13075023,Daberkow,17129,13.301,53.839,daberkow
13,13075054,Jarmen,17126,13.34,53.924,jarmen
13,13075070,Kruckow,17129,13.236,53.901,kruckow
13,13075134,Tutow,17129,13.243,53.919,tutow
13,13075140,Völschow,17129,13.336,53.878,völschow
13,13075008,Behrenhoff,17498,13.392,54.006,behrenhoff
13,13075025,Dargelin,17498,13.354,54.015,dargelin
13,13075027,Dersekow,17498,13.292,54.046,dersekow
13,13075028,Diedrichshagen,17498,13.473,54.053,diedrichshagen
13,13075050,Hinrichshagen,17498,13.33,54.07,hinrichshagen
13,13075076,Levenhagen,17498,13.272,54.089,levenhagen
13,13075091,Mesekenhagen,17498,13.317,54.15,mesekenhagen
13,13075102,Neuenkirchen,17498,13.375,54.12,neuenkirchen
13,13075141,Wackerow,17498,13.345,54.105,wackerow
13,13075142,Weitenhagen,17498,13.411,54.054,weitenhagen
13,13075011,Bergholz,17321,14.168,53.442,bergholz
13,13075012,Blankensee,17322,14.307,53.512,blankensee
13,13075016,Boock,17322,14.247,53.494,boock
13,13075035,Glasow,17322,14.273,53.378,glasow
13,13075038,Grambow,17321,14.335,53.414,grambow
13,13075067,Krackow,17328,14.266,53.344,krackow
13,13075079,Löcknitz,17321,14.212,53.453,löcknitz
13,13075095,Nadrensee,17329,14.349,53.333,nadrensee
13,13075107,Penkun,17328,14.236,53.298,penkun
13,13075108,Plöwen,17321,14.264,53.464,plöwen
13,13075113,Ramin,17321,14.29,53.414,ramin
13,13075117,Rossow,17321,14.124,53.475,rossow
13,13075119,Rothenklempenow,17321,14.203,53.516,rothenklempenow
13,13075018,Brünzow,17509,13.565,54.105,brünzow
13,13075046,Hanshagen,17509,13.542,54.046,hanshagen
13,13075059,Katzow,17509,13.673,54.049,katzow
13,13075060,Kemnitz,17509,13.533,54.076,kemnitz
13,13075069,Kröslin,17440,13.753,54.118,kröslin
13,13075081,Loissin,17509,13.532,54.113,loissin
