id,name,city,council,date,value,lat,lon,kind,area
94140236,Que Kl Schmalenau,Arnsberg,Arnsberg,2015-04-08,8.9,51.4099,8.1273,gefasste Quelle,Wald
10409385,Embken Quelle 5,Nideggen,Köln,2015-11-03,8.8,50.6817,6.5765,Schachtbrunnen,Grünland
20104327,VI/8 LGD BHH Casum,Borgholzhausen,Detmold,2015-06-30,8.8,52.0725,8.2668,GW-Messstelle,Acker
59620985,Kierspe Rathaus,Kierspe,Arnsberg,2015-09-07,8.8,51.1275,7.6016,GW-Messstelle,"bebaut, besiedelt"
23061881,575.3  - 98/2   W 1,Bielefeld,Detmold,2015-09-09,8.8,51.9473,8.5962,GW-Messstelle,"bebaut, besiedelt"
10408241,WASSERDELL MISCHW.,Dahlem,Köln,2015-12-17,8.8,50.3889,6.5653,Sammelschacht,Wald
21001352,729             LGD,Schloß Holte-Stukenbrock,Detmold,2015-10-22,8.8,51.892,8.6043,GW-Messstelle,Wald
10410030,Zehnbachquelle,Blankenheim,Köln,2015-09-17,8.7,50.4257,6.5867,gefasste Quelle,Grünland
94160594,Jacobsquellen,Schmallenberg,Arnsberg,2015-12-15,8.7,51.2011,8.4052,gefasste Quelle,Wald
16000651,IPO P 2 Ost,Heinsberg (Rhld.),Köln,2015-05-07,8.6,51.0578,6.158,GW-Messstelle,"bebaut, besiedelt"
110060210,VI/21 -DACKMAR-,Sassenberg,Münster,2015-11-09,8.6,51.973,8.1074,GW-Messstelle,Acker
80302166,AUWEL HOLT,Straelen,Düsseldorf,2015-03-20,8.5,51.4635,6.2447,GW-Messstelle,Acker
73775484,WG ROELEFELD,Waldbröl,Köln,2015-04-07,8.5,50.9229,7.6259,gefasste Quelle,Wald
106525165,I/3T Augustdorf,Augustdorf,Detmold,2015-10-22,8.5,51.8882,8.735,GW-Messstelle,Wald
70200518,LGD MONDORF 1/93,Niederkassel,Köln,2015-08-10,8.5,50.7881,7.0723,GW-Messstelle,Acker
11006936,Breitenbenden Zus,Mechernich,Köln,2015-11-19,8.5,50.5766,6.6743,Schachtbrunnen,Grünland
94170344,Quelle Mertensborn,Hallenberg,Arnsberg,2015-04-28,8.4,51.1477,8.6005,gefasste Quelle,Wald
59620249,HERVEL,Herscheid,Arnsberg,2015-10-06,8.4,51.1452,7.7175,gefasste Quelle,Wald
129700710,Einheitsstraße,Siegen,Arnsberg,2015-08-26,8.3,50.9083,8.0366,Schachtbrunnen,"bebaut, besiedelt"
60090248,HS 128,Recklinghausen,Münster,2015-11-06,8.3,51.6475,7.1981,GW-Messstelle,Acker
129660255,Wolbecke,Kirchhundem,Arnsberg,2015-05-11,8.2,51.0256,8.1448,gefasste Quelle,Wald
10203588,Gangelt-Niederbusch,Gangelt,Köln,2015-06-10,8.2,50.9659,6.0212,GW-Messstelle,Acker
76987218,RSK ALTABL.8630-043,Siegburg,Köln,2015-08-17,8.1,50.809,7.2252,GW-Messstelle,"bebaut, besiedelt"
26502264,BR Loewendorf Neu,Marienmünster,Detmold,2015-10-13,8.0,51.8335,9.2921,Vertikalfilterbrunnen (Bohrbrunnen),Acker
26501491,TB Noerde,Warburg,Detmold,2015-05-20,8.0,51.5364,9.0978,Vertikalfilterbrunnen (Bohrbrunnen),Wald
10403814,Brunnen Seidenbach,Blankenheim,Köln,2015-09-17,8.0,50.4258,6.615,Vertikalfilterbrunnen (Bohrbrunnen),Wald
59620821,Volmequelle,Meinerzhagen,Arnsberg,2015-03-16,8.0,51.0995,7.664,gefasste Quelle,Wald
94170253,Que Kuckucksloch,Medebach,Arnsberg,2015-04-28,7.8,51.1614,8.652,gefasste Quelle,Acker
99580251,Quelle Schanze,Schmallenberg,Arnsberg,2015-05-06,7.7,51.1344,8.3629,gefasste Quelle,Wald
26525112,58.2 Haustenbeck,Schlangen,Detmold,2015-08-20,7.7,51.8549,8.7619,GW-Messstelle,Wald
129660048,Vogelrute,Attendorn,Arnsberg,2015-04-27,7.6,51.135,7.8765,gefasste Quelle,Wald
129700757,Girkhausen,Bad Berleburg,Arnsberg,2015-04-13,7.5,51.1342,8.4592,Sammelschacht,Wald
10406360,Overhuesallee P 6,Düren,Köln,2016-04-04,7.4,50.791,6.4789,GW-Messstelle,"bebaut, besiedelt"
86612025,E WW GELDERN Br.IV,Geldern,Düsseldorf,2015-03-09,7.4,51.5098,6.378,Vertikalfilterbrunnen (Bohrbrunnen),Grünland
10406335,Overhuesallee P 3,Düren,Köln,2016-04-04,7.4,50.7918,6.4777,GW-Messstelle,"bebaut, besiedelt"
32032201,UWB-Ddorf 01285,Düsseldorf,Düsseldorf,2015-09-29,7.4,51.2319,6.7521,GW-Messstelle,"bebaut, besiedelt"
36411589,VWW LANGENFELD P41,Monheim,Düsseldorf,2015-01-06,7.4,51.0908,6.8972,Schachtbrunnen,"bebaut, besiedelt"
26541245,"252- 7,0m ML    W18",Schloß Holte-Stukenbrock,Detmold,2015-08-11,7.4,51.9203,8.6476,GW-Messstelle,Wald
118052020,W.BROCHTERBECK-VK02,Tecklenburg,Münster,2015-09-30,7.2,52.2088,7.7508,Vertikalfilterbrunnen (Bohrbrunnen),Grünland
288194317,Minkel,Neuss,Düsseldorf,2015-06-22,7.2,51.1487,6.6666,GW-Messstelle,Acker
279375610,Stommbusch II,Pulheim,Köln,2015-06-19,7.2,51.0307,6.7797,GW-Messstelle,Acker
10421361,Mariaschacht P1,Stolberg (Rhld.),Köln,2015-06-10,7.2,50.7168,6.2202,GW-Messstelle,Grünland
10407194,SEEBRICHT QUELLE,Schleiden,Köln,2015-10-13,7.1,50.5777,6.5191,gefasste Quelle,Wald
60220478,HS/47 -OESTRICH-,Raesfeld,Münster,2015-12-17,7.1,51.762,6.8984,GW-Messstelle,Acker
26490742,HO 2    Quenhorn,Herzebrock-Clarholz,Detmold,2015-02-02,7.1,51.9131,8.2658,Horizontalfilterbrunnen,Acker
76839217,BN ALTABL. BP 78,Bonn,Köln,2015-05-13,7.1,50.7433,7.1682,GW-Messstelle,"bebaut, besiedelt"
24180452,Padulus-Quelle,Paderborn,Detmold,2015-09-24,7.0,51.7464,8.715,Vertikalfilterbrunnen (Bohrbrunnen),"bebaut, besiedelt"
26531033,"101- 9,0m ML OL",Hövelhof,Detmold,2015-08-11,7.0,51.8272,8.7082,GW-Messstelle,Wald
26502926,B3 Weissenborn,Bad Driburg,Detmold,2015-06-09,7.0,51.7237,9.0489,Vertikalfilterbrunnen (Bohrbrunnen),Grünland
10303650,Rüst Bundesbahn3/9,Stolberg (Rhld.),Köln,2015-06-01,7.0,50.7525,6.2426,GW-Messstelle,"bebaut, besiedelt"
129660097,Lechtmecke,Kirchhundem,Arnsberg,2015-05-04,7.0,51.0341,8.0883,gefasste Quelle,Grünland
100760156,BA 13ABR AHLE,Bünde,Detmold,2015-10-05,7.0,52.1933,8.5449,Vertikalfilterbrunnen (Bohrbrunnen),Acker
129700198,Bruchstollen,Kreuztal,Arnsberg,2015-07-08,6.9,50.9787,7.9945,Sickerstollen,Wald
59540515,WITTEN BEO 3,Witten,Arnsberg,2015-06-16,6.9,51.4288,7.3109,GW-Messstelle,Sonstiges
110070288,VII/28 HOLLICH.FELD,Steinfurt,Münster,2015-07-22,6.9,52.1784,7.4267,GW-Messstelle,Acker
110250140,BERGB 14-WALSTEDDE-,Drensteinfurt,Münster,2015-11-24,6.9,51.7541,7.8071,GW-Messstelle,Acker
129660073,Dornbusch,Olpe,Arnsberg,2015-04-21,6.9,51.0705,7.9407,gefasste Quelle,Wald
60102123,RWI 112,Castrop-Rauxel,Münster,2015-11-24,6.9,51.574,7.3383,GW-Messstelle,Wald
10300570,AACHEN KLINIKUM 7,"Aachen, Stadt",Köln,2015-03-23,6.8,50.7806,6.0394,GW-Messstelle,Acker
42001006,LINEG_131,Rheinberg,Düsseldorf,2015-12-02,6.7,51.55,6.5987,GW-Messstelle,"bebaut, besiedelt"
